category	difficulity	keyword
実在するディズニーキャラクター	多くの人が知っている	アリエル（リトルマーメイド）
実在するディズニーキャラクター	多くの人が知っている	ジャスミン（アラジン）
実在するディズニーキャラクター	多くの人が知っている	ラプンツェル（ラプンツェル）
実在するディズニーキャラクター	多くの人が知っている	ミッキーマウス
実在するディズニーキャラクター	多くの人が知っている	ミニーマウス
実在するディズニーキャラクター	多くの人が知っている	ドナルドダック
実在するディズニーキャラクター	多くの人が知っている	グーフィー
実在するディズニーキャラクター	多くの人が知っている	ピノキオ（ピノキオ）
実在するディズニーキャラクター	多くの人が知っている	シンバ（ライオンキング）
実在するディズニーキャラクター	多くの人が知っている	ウッディ（トイ・ストーリー）
実在するディズニーキャラクター	多くの人が知っている	バズ・ライトイヤー（トイ・ストーリー）
実在するディズニーキャラクター	多くの人が知っている	マイク・ワゾウスキ（モンスターズ・インク）
実在するディズニーキャラクター	多くの人が知っている	ジェームズ・P・サリバン（モンスターズ・インク）
実在するディズニーキャラクター	多くの人が知っている	ブー（モンスターズ・インク）
実在するディズニーキャラクター	多くの人が知っている	ニモ（ファインディング・ニモ）
実在するディズニーキャラクター	多くの人が知っている	マーリン（ファインディング・ニモ）
実在するディズニーキャラクター	多くの人が知っている	ドリー（ファインディング・ニモ）
実在するディズニーキャラクター	多くの人が知っている	エルサ（アナと雪の女王）
実在するディズニーキャラクター	多くの人が知っている	アナ（アナと雪の女王）
実在するディズニーキャラクター	多くの人が知っている	オラフ（アナと雪の女王）
実在する動物	多くの人が知っている	ライオン
実在する動物	多くの人が知っている	チーター
実在する動物	多くの人が知っている	ゾウ
実在する動物	多くの人が知っている	カンガルー
実在する動物	多くの人が知っている	コアラ
実在する動物	多くの人が知っている	パンダ
実在する動物	多くの人が知っている	ゴリラ
実在する動物	多くの人が知っている	ペンギン
実在する動物	多くの人が知っている	サル
実在する動物	多くの人が知っている	キリン
実在する動物	多くの人が知っている	ティラノサウルス
実在する動物	多くの人が知っている	ブタ
実在する動物	多くの人が知っている	ウシ
実在する動物	多くの人が知っている	ヒツジ
実在する動物	多くの人が知っている	ヤギ
実在する動物	多くの人が知っている	ネコ
実在する動物	多くの人が知っている	イヌ
実在する動物	多くの人が知っている	ハムスター
実在する動物	多くの人が知っている	ウサギ
実在する動物	多くの人が知っている	シマウマ
実在する動物	多くの人が知っている	リス
実在する動物	多くの人が知っている	イルカ
実在する動物	多くの人が知っている	クジラ
実在する食べ物や料理	多くの人が知っている	ピザ
実在する食べ物や料理	多くの人が知っている	パスタ
実在する食べ物や料理	多くの人が知っている	ステーキ
実在する食べ物や料理	多くの人が知っている	ハンバーガー
実在する食べ物や料理	多くの人が知っている	寿司
実在する食べ物や料理	多くの人が知っている	ラーメン
実在する食べ物や料理	多くの人が知っている	フライドチキン
実在する食べ物や料理	多くの人が知っている	ケーキ
実在する食べ物や料理	多くの人が知っている	ドーナツ
実在する食べ物や料理	多くの人が知っている	ホットドッグ
実在する食べ物や料理	多くの人が知っている	サンドイッチ
実在する食べ物や料理	多くの人が知っている	サラダ
実在する食べ物や料理	多くの人が知っている	おにぎり
実在する食べ物や料理	多くの人が知っている	カレーライス
実在する食べ物や料理	多くの人が知っている	クロワッサン
実在する食べ物や料理	多くの人が知っている	ワイン
実在する食べ物や料理	多くの人が知っている	ビール
実在する食べ物や料理	多くの人が知っている	ウィスキー
実在する食べ物や料理	多くの人が知っている	アイスクリーム
実在する食べ物や料理	多くの人が知っている	カツ丼
実在する食べ物や料理	多くの人が知っている	チャーハン
実在する食べ物や料理	多くの人が知っている	フレンチトースト
実在する食べ物や料理	多くの人が知っている	クレープ
実在する食べ物や料理	多くの人が知っている	オムライス
実在する食べ物や料理	多くの人が知っている	バーベキュー
実在する食べ物や料理	多くの人が知っている	チーズバーガー
実在する食べ物や料理	多くの人が知っている	プリン
実在する日本人	多くの人が知っている	宮崎駿（アニメーション監督）
実在する日本人	多くの人が知っている	野口英世（医学者）
実在する日本人	多くの人が知っている	美輪明宏（歌手、俳優）
